model_name,status,complexity,seed,mode,phosphene_resolution,edge_threshold,name,descr,fwd_reward,side_reward,box_reward,wall_reward,target_step_reward,n_target_steps,light_intensity,early_stop_reward,savedir,device,optimizer,lr_dqn,batch_size,validate_every,max_episodes,max_optim_steps,optimizations_per_step,reward_multiplier,reset_end_is_0,reset_end_is_1,reset_end_is_2,reset_end_is_3,reset_after_nr_sidesteps,imsize,stack_size,n_actions,ip,port,gamma,eps_start,eps_end,eps_delta,replay_start_size,target_update,memory_capacity,dist_feedback
exp1-nov2023_comp_complex-seed_1-mode_edge-detection-phos_10-edge_70,todo,complex,1,edge-detection,10,70,Exp1-Nov2023,Evaluating different phosphene resolutions,10,-1,-20,-15,99,100,1.0,0,./Experiments/Out/Exp1_Nov_2023,cuda:1,adam,0.001,128,150,6000,175000,5,1.0,False,True,False,True,5,128,4,3,127.0.0.1,13001,0.9,0.95,0.05,-0.0001125,1500,50000,25000,False
exp1-nov2023_comp_complex-seed_2-mode_edge-detection-phos_50-edge_70,todo,complex,2,edge-detection,50,70,Exp1-Nov2023,Evaluating different phosphene resolutions,10,-1,-20,-15,99,100,1.0,0,./Experiments/Out/Exp1_Nov_2023,cuda:1,adam,0.001,128,150,6000,175000,5,1.0,False,True,False,True,5,128,4,3,127.0.0.1,13001,0.9,0.95,0.05,-0.0001125,1500,50000,25000,False
exp1-nov2023_comp_complex-seed_2-mode_edge-detection-phos_42-edge_70,todo,complex,2,edge-detection,42,70,Exp1-Nov2023,Evaluating different phosphene resolutions,10,-1,-20,-15,99,100,1.0,0,./Experiments/Out/Exp1_Nov_2023,cuda:1,adam,0.001,128,150,6000,175000,5,1.0,False,True,False,True,5,128,4,3,127.0.0.1,13001,0.9,0.95,0.05,-0.0001125,1500,50000,25000,False
exp1-nov2023_comp_complex-seed_2-mode_edge-detection-phos_34-edge_70,todo,complex,2,edge-detection,34,70,Exp1-Nov2023,Evaluating different phosphene resolutions,10,-1,-20,-15,99,100,1.0,0,./Experiments/Out/Exp1_Nov_2023,cuda:1,adam,0.001,128,150,6000,175000,5,1.0,False,True,False,True,5,128,4,3,127.0.0.1,13001,0.9,0.95,0.05,-0.0001125,1500,50000,25000,False
exp1-nov2023_comp_complex-seed_2-mode_edge-detection-phos_10-edge_70,todo,complex,2,edge-detection,10,70,Exp1-Nov2023,Evaluating different phosphene resolutions,10,-1,-20,-15,99,100,1.0,0,./Experiments/Out/Exp1_Nov_2023,cuda:1,adam,0.001,128,150,6000,175000,5,1.0,False,True,False,True,5,128,4,3,127.0.0.1,13001,0.9,0.95,0.05,-0.0001125,1500,50000,25000,False
exp1-nov2023_comp_complex-seed_2-mode_edge-detection-phos_18-edge_70,todo,complex,2,edge-detection,18,70,Exp1-Nov2023,Evaluating different phosphene resolutions,10,-1,-20,-15,99,100,1.0,0,./Experiments/Out/Exp1_Nov_2023,cuda:1,adam,0.001,128,150,6000,175000,5,1.0,False,True,False,True,5,128,4,3,127.0.0.1,13001,0.9,0.95,0.05,-0.0001125,1500,50000,25000,False
exp1-nov2023_comp_complex-seed_2-mode_edge-detection-phos_26-edge_70,todo,complex,2,edge-detection,26,70,Exp1-Nov2023,Evaluating different phosphene resolutions,10,-1,-20,-15,99,100,1.0,0,./Experiments/Out/Exp1_Nov_2023,cuda:1,adam,0.001,128,150,6000,175000,5,1.0,False,True,False,True,5,128,4,3,127.0.0.1,13001,0.9,0.95,0.05,-0.0001125,1500,50000,25000,False
exp1-nov2023_comp_complex-seed_2-mode_edge-detection-phos_5-edge_70,todo,complex,2,edge-detection,5,70,Exp1-Nov2023,Evaluating different phosphene resolutions,10,-1,-20,-15,99,100,1.0,0,./Experiments/Out/Exp1_Nov_2023,cuda:1,adam,0.001,128,150,6000,175000,5,1.0,False,True,False,True,5,128,4,3,127.0.0.1,13001,0.9,0.95,0.05,-0.0001125,1500,50000,25000,False
exp1-nov2023_comp_plain-seed_0-mode_edge-detection-phos_50-edge_70,todo,plain,0,edge-detection,50,70,Exp1-Nov2023,Evaluating different phosphene resolutions,10,-1,-20,-15,99,100,1.0,0,./Experiments/Out/Exp1_Nov_2023,cuda:0,adam,0.001,128,150,6000,175000,5,1.0,False,True,False,True,5,128,4,3,127.0.0.1,13000,0.9,0.95,0.05,-0.0001125,1500,50000,25000,False
exp1-nov2023_comp_plain-seed_0-mode_edge-detection-phos_42-edge_70,todo,plain,0,edge-detection,42,70,Exp1-Nov2023,Evaluating different phosphene resolutions,10,-1,-20,-15,99,100,1.0,0,./Experiments/Out/Exp1_Nov_2023,cuda:0,adam,0.001,128,150,6000,175000,5,1.0,False,True,False,True,5,128,4,3,127.0.0.1,13000,0.9,0.95,0.05,-0.0001125,1500,50000,25000,False
exp1-nov2023_comp_plain-seed_0-mode_edge-detection-phos_34-edge_70,todo,plain,0,edge-detection,34,70,Exp1-Nov2023,Evaluating different phosphene resolutions,10,-1,-20,-15,99,100,1.0,0,./Experiments/Out/Exp1_Nov_2023,cuda:0,adam,0.001,128,150,6000,175000,5,1.0,False,True,False,True,5,128,4,3,127.0.0.1,13000,0.9,0.95,0.05,-0.0001125,1500,50000,25000,False
exp1-nov2023_comp_plain-seed_0-mode_edge-detection-phos_10-edge_70,todo,plain,0,edge-detection,10,70,Exp1-Nov2023,Evaluating different phosphene resolutions,10,-1,-20,-15,99,100,1.0,0,./Experiments/Out/Exp1_Nov_2023,cuda:0,adam,0.001,128,150,6000,175000,5,1.0,False,True,False,True,5,128,4,3,127.0.0.1,13000,0.9,0.95,0.05,-0.0001125,1500,50000,25000,False
exp1-nov2023_comp_plain-seed_0-mode_edge-detection-phos_18-edge_70,todo,plain,0,edge-detection,18,70,Exp1-Nov2023,Evaluating different phosphene resolutions,10,-1,-20,-15,99,100,1.0,0,./Experiments/Out/Exp1_Nov_2023,cuda:0,adam,0.001,128,150,6000,175000,5,1.0,False,True,False,True,5,128,4,3,127.0.0.1,13000,0.9,0.95,0.05,-0.0001125,1500,50000,25000,False
exp1-nov2023_comp_plain-seed_0-mode_edge-detection-phos_26-edge_70,todo,plain,0,edge-detection,26,70,Exp1-Nov2023,Evaluating different phosphene resolutions,10,-1,-20,-15,99,100,1.0,0,./Experiments/Out/Exp1_Nov_2023,cuda:0,adam,0.001,128,150,6000,175000,5,1.0,False,True,False,True,5,128,4,3,127.0.0.1,13000,0.9,0.95,0.05,-0.0001125,1500,50000,25000,False
exp1-nov2023_comp_plain-seed_0-mode_edge-detection-phos_5-edge_70,todo,plain,0,edge-detection,2,70,Exp1-Nov2023,Evaluating different phosphene resolutions,10,-1,-20,-15,99,100,1.0,0,./Experiments/Out/Exp1_Nov_2023,cuda:0,adam,0.001,128,150,6000,175000,5,1.0,False,True,False,True,5,128,4,3,127.0.0.1,13000,0.9,0.95,0.05,-0.0001125,1500,50000,25000,False
exp1-nov2023_comp_plain-seed_1-mode_edge-detection-phos_42-edge_70,todo,plain,1,edge-detection,42,70,Exp1-Nov2023,Evaluating different phosphene resolutions,10,-1,-20,-15,99,100,1.0,0,./Experiments/Out/Exp1_Nov_2023,cuda:0,adam,0.001,128,150,6000,175000,5,1.0,False,True,False,True,5,128,4,3,127.0.0.1,13000,0.9,0.95,0.05,-0.0001125,1500,50000,25000,False
exp1-nov2023_comp_plain-seed_1-mode_edge-detection-phos_34-edge_70,todo,plain,1,edge-detection,34,70,Exp1-Nov2023,Evaluating different phosphene resolutions,10,-1,-20,-15,99,100,1.0,0,./Experiments/Out/Exp1_Nov_2023,cuda:0,adam,0.001,128,150,6000,175000,5,1.0,False,True,False,True,5,128,4,3,127.0.0.1,13000,0.9,0.95,0.05,-0.0001125,1500,50000,25000,False
exp1-nov2023_comp_plain-seed_1-mode_edge-detection-phos_10-edge_70,todo,plain,1,edge-detection,10,70,Exp1-Nov2023,Evaluating different phosphene resolutions,10,-1,-20,-15,99,100,1.0,0,./Experiments/Out/Exp1_Nov_2023,cuda:0,adam,0.001,128,150,6000,175000,5,1.0,False,True,False,True,5,128,4,3,127.0.0.1,13000,0.9,0.95,0.05,-0.0001125,1500,50000,25000,False
exp1-nov2023_comp_plain-seed_1-mode_edge-detection-phos_18-edge_70,todo,plain,1,edge-detection,18,70,Exp1-Nov2023,Evaluating different phosphene resolutions,10,-1,-20,-15,99,100,1.0,0,./Experiments/Out/Exp1_Nov_2023,cuda:0,adam,0.001,128,150,6000,175000,5,1.0,False,True,False,True,5,128,4,3,127.0.0.1,13000,0.9,0.95,0.05,-0.0001125,1500,50000,25000,False
exp1-nov2023_comp_plain-seed_1-mode_edge-detection-phos_5-edge_70,todo,plain,1,edge-detection,2,70,Exp1-Nov2023,Evaluating different phosphene resolutions,10,-1,-20,-15,99,100,1.0,0,./Experiments/Out/Exp1_Nov_2023,cuda:0,adam,0.001,128,150,6000,175000,5,1.0,False,True,False,True,5,128,4,3,127.0.0.1,13000,0.9,0.95,0.05,-0.0001125,1500,50000,25000,False
exp1-nov2023_comp_plain-seed_1-mode_edge-detection-phos_26-edge_70,todo,plain,1,edge-detection,26,70,Exp1-Nov2023,Evaluating different phosphene resolutions,10,-1,-20,-15,99,100,1.0,0,./Experiments/Out/Exp1_Nov_2023,cuda:0,adam,0.001,128,150,6000,175000,5,1.0,False,True,False,True,5,128,4,3,127.0.0.1,13000,0.9,0.95,0.05,-0.0001125,1500,50000,25000,False
exp1-nov2023_comp_plain-seed_2-mode_edge-detection-phos_50-edge_70,todo,plain,2,edge-detection,50,70,Exp1-Nov2023,Evaluating different phosphene resolutions,10,-1,-20,-15,99,100,1.0,0,./Experiments/Out/Exp1_Nov_2023,cuda:0,adam,0.001,128,150,6000,175000,5,1.0,False,True,False,True,5,128,4,3,127.0.0.1,13000,0.9,0.95,0.05,-0.0001125,1500,50000,25000,False
exp1-nov2023_comp_plain-seed_2-mode_edge-detection-phos_42-edge_70,todo,plain,2,edge-detection,42,70,Exp1-Nov2023,Evaluating different phosphene resolutions,10,-1,-20,-15,99,100,1.0,0,./Experiments/Out/Exp1_Nov_2023,cuda:0,adam,0.001,128,150,6000,175000,5,1.0,False,True,False,True,5,128,4,3,127.0.0.1,13000,0.9,0.95,0.05,-0.0001125,1500,50000,25000,False
exp1-nov2023_comp_plain-seed_2-mode_edge-detection-phos_34-edge_70,todo,plain,2,edge-detection,34,70,Exp1-Nov2023,Evaluating different phosphene resolutions,10,-1,-20,-15,99,100,1.0,0,./Experiments/Out/Exp1_Nov_2023,cuda:0,adam,0.001,128,150,6000,175000,5,1.0,False,True,False,True,5,128,4,3,127.0.0.1,13000,0.9,0.95,0.05,-0.0001125,1500,50000,25000,False
exp1-nov2023_comp_plain-seed_2-mode_edge-detection-phos_10-edge_70,todo,plain,2,edge-detection,10,70,Exp1-Nov2023,Evaluating different phosphene resolutions,10,-1,-20,-15,99,100,1.0,0,./Experiments/Out/Exp1_Nov_2023,cuda:0,adam,0.001,128,150,6000,175000,5,1.0,False,True,False,True,5,128,4,3,127.0.0.1,13000,0.9,0.95,0.05,-0.0001125,1500,50000,25000,False
exp1-nov2023_comp_plain-seed_2-mode_edge-detection-phos_18-edge_70,todo,plain,2,edge-detection,18,70,Exp1-Nov2023,Evaluating different phosphene resolutions,10,-1,-20,-15,99,100,1.0,0,./Experiments/Out/Exp1_Nov_2023,cuda:0,adam,0.001,128,150,6000,175000,5,1.0,False,True,False,True,5,128,4,3,127.0.0.1,13000,0.9,0.95,0.05,-0.0001125,1500,50000,25000,False
exp1-nov2023_comp_plain-seed_2-mode_edge-detection-phos_26-edge_70,todo,plain,2,edge-detection,26,70,Exp1-Nov2023,Evaluating different phosphene resolutions,10,-1,-20,-15,99,100,1.0,0,./Experiments/Out/Exp1_Nov_2023,cuda:0,adam,0.001,128,150,6000,175000,5,1.0,False,True,False,True,5,128,4,3,127.0.0.1,13000,0.9,0.95,0.05,-0.0001125,1500,50000,25000,False
exp1-nov2023_comp_plain-seed_2-mode_edge-detection-phos_5-edge_70,todo,plain,2,edge-detection,2,70,Exp1-Nov2023,Evaluating different phosphene resolutions,10,-1,-20,-15,99,100,1.0,0,./Experiments/Out/Exp1_Nov_2023,cuda:0,adam,0.001,128,150,6000,175000,5,1.0,False,True,False,True,5,128,4,3,127.0.0.1,13000,0.9,0.95,0.05,-0.0001125,1500,50000,25000,False
