episode,step_count,wall_collisions,box_collisions,endless_loops,reward,train_loss,validation
0,62,0,5,0,520,0,1
0,0,0,0,0,0,0,0
1,16,2,0,1,32.0,0,0
2,8,1,0,1,-6.0,0,0
3,17,6,1,0,-24.0,0,0
4,23,4,0,1,7.0,0,0
5,6,0,0,1,-6.0,0,0
6,17,7,0,1,-25.0,0,0
7,21,5,0,1,11.0,0,0
8,23,4,1,0,43.0,0,0
9,10,0,1,0,37.0,0,0
10,19,5,1,0,-17.0,0,0
11,25,3,1,0,39.0,0,0
12,19,7,0,1,-38.0,0,0
13,18,2,1,0,22.0,0,0
14,12,7,0,1,-31.0,0,0
15,6,1,0,1,-15.0,0,0
16,15,2,1,0,14.0,0,0
17,14,3,0,1,14.0,0,0
18,15,0,1,0,32.0,0,0
19,23,6,0,1,-22.0,0,0
20,35,7,0,1,12.0,0,0
21,8,0,1,0,39.0,0,0
22,42,12,0,1,15.0,0,0
23,14,2,0,1,1.0,0,0
24,20,5,1,0,-7.0,0,0
25,23,2,1,0,61.0,0,0
26,13,5,0,1,-3.0,0,0
27,17,4,1,0,49.0,0,0
28,17,1,1,0,32.0,0,0
29,20,0,1,0,27.0,0,0
30,15,3,1,0,5.0,0,0
31,19,4,1,0,-8.0,0,0
32,19,3,1,0,12.0,0,0
33,24,2,1,0,49.0,0,0
34,16,2,1,0,13.0,0,0
35,20,5,1,0,-7.0,0,0
36,20,6,1,0,-16.0,0,0
37,19,1,1,0,63.0,0,0
38,13,2,0,1,-9.0,0,0
39,15,4,0,1,-7.0,0,0
40,8,4,0,1,-33.0,0,0
41,17,1,1,0,21.0,0,0
42,19,6,1,0,-15.0,0,0
43,14,1,1,0,35.0,0,0
44,35,8,1,0,-5.0,0,0
45,13,4,0,1,-5.0,0,0
46,20,2,1,0,20.0,0,0
47,19,7,1,0,-24.0,0,0
48,21,3,0,1,7.0,0,0
49,31,7,1,0,-3.0,0,0
50,62,0,5,0,520,0,1
50,33,7,0,1,3.0,0,0
51,17,3,1,0,3.0,0,0
52,14,1,0,1,21.0,0,0
53,9,3,0,1,-25.0,0,0
54,49,16,1,0,-14.0,0,0
55,11,4,0,1,-25.0,0,0
56,12,4,0,1,-37.0,0,0
57,6,3,0,1,-33.0,0,0
58,17,4,0,1,-9.0,0,0
59,24,5,0,1,41.0,0,0
60,14,2,0,1,34.0,0,0
61,20,3,1,0,11.0,0,0
62,19,5,0,1,-20.0,0,0
63,18,4,0,1,1.0,0,0
64,33,7,1,0,-5.0,0,0
65,33,2,1,0,95.0,0,0
66,25,4,1,0,30.0,0,0
67,23,5,1,0,23.0,0,0
68,6,2,0,1,-24.0,0,0
69,54,13,1,0,8.0,0,0
70,17,5,0,1,-29.0,0,0
71,20,3,1,0,11.0,0,0
72,14,2,1,0,15.0,0,0
73,15,3,1,0,5.0,0,0
74,15,1,1,0,23.0,0,0
75,15,3,1,0,5.0,0,0
76,33,9,0,1,40.0,0,0
77,28,5,0,1,37.0,0,0
78,15,3,1,0,5.0,24.335790634155273,0
79,29,2,1,0,44.0,102.4645893573761,0
80,28,5,1,0,29.0,138.6343007683754,0
81,18,5,1,0,-16.0,156.4359633922577,0
82,8,2,0,1,-4.0,163.8118416070938,0
83,22,5,1,0,24.0,185.38534593582153,0
84,16,1,1,0,66.0,201.4972484111786,0
85,15,3,1,0,16.0,215.04085606336594,0
86,10,1,1,0,28.0,223.90449684858322,0
87,13,4,0,1,-5.0,235.08488336205482,0
88,15,5,1,0,-13.0,248.98493611812592,0
89,17,7,0,1,-36.0,264.0635868161917,0
90,23,3,1,0,41.0,286.90415765345097,0
91,10,0,1,0,37.0,295.4472393244505,0
92,15,2,1,0,25.0,308.7464166134596,0
93,36,5,1,0,54.0,339.4597886353731,0
94,12,3,1,0,19.0,350.12259973585606,0
