episode,step_count,wall_collisions,box_collisions,endless_loops,reward,train_loss,validation
0,25,25,0,5,-255,0,1
0,0,0,0,0,0,0,0
1,17,4,0,1,13.0,0,0
2,23,6,1,0,-19.0,0,0
3,13,1,1,0,25.0,0,0
4,9,2,0,1,-5.0,0,0
5,29,7,0,1,-4.0,0,0
6,14,4,0,1,-17.0,0,0
7,25,7,1,0,3.0,0,0
8,17,3,1,0,3.0,0,0
9,17,1,0,1,40.0,0,0
10,6,3,0,1,-33.0,0,0
11,23,8,0,1,-40.0,0,0
12,7,1,0,1,-5.0,0,0
13,25,5,1,0,-23.0,0,0
14,13,3,1,0,7.0,0,0
15,12,4,0,1,-15.0,0,0
16,17,7,1,0,-33.0,0,0
17,10,3,0,1,-15.0,0,0
18,25,4,0,1,5.0,0,0
19,15,2,1,0,14.0,0,0
20,35,2,1,0,93.0,0,0
21,16,3,1,0,4.0,0,0
22,8,1,0,1,-6.0,0,0
23,10,2,0,1,5.0,0,0
24,6,1,0,1,-15.0,0,0
25,9,4,0,1,-23.0,0,0
26,24,7,1,0,15.0,0,0
27,18,0,1,0,40.0,0,0
28,9,0,0,1,13.0,0,0
29,7,3,0,1,-23.0,0,0
30,20,1,1,0,29.0,0,0
31,23,5,0,1,-24.0,0,0
32,19,2,1,0,10.0,0,0
33,23,4,0,1,18.0,0,0
34,25,3,1,0,6.0,0,0
35,7,3,0,1,-23.0,0,0
36,23,5,1,0,-10.0,0,0
37,28,5,1,0,73.0,0,0
38,20,7,1,0,-25.0,0,0
39,6,1,0,1,-15.0,0,0
40,15,3,0,1,35.0,0,0
41,8,1,0,1,-6.0,0,0
42,9,3,0,1,-25.0,0,0
43,14,6,0,1,-35.0,0,0
44,11,3,0,1,-16.0,0,0
45,6,3,0,1,-33.0,0,0
46,15,2,1,0,25.0,0,0
47,14,5,0,1,-15.0,0,0
48,29,5,1,0,28.0,0,0
49,10,3,0,1,-15.0,0,0
50,62,0,5,0,520,0,1
50,13,1,1,0,25.0,0,0
51,12,7,0,1,-64.0,0,0
52,15,2,1,0,14.0,0,0
53,19,3,1,0,45.0,0,0
54,16,4,0,1,-19.0,0,0
55,29,8,0,1,9.0,0,0
56,6,1,0,1,-15.0,0,0
57,24,4,1,0,-13.0,0,0
58,15,5,1,0,-13.0,0,0
59,17,1,0,1,29.0,0,0
60,10,5,0,1,-33.0,0,0
61,6,1,0,1,-15.0,0,0
62,14,0,1,0,33.0,0,0
63,12,2,1,0,17.0,0,0
64,14,1,1,0,35.0,0,0
65,10,1,0,1,3.0,0,0
66,6,4,0,1,-42.0,0,0
67,8,2,0,1,-15.0,0,0
68,9,3,0,1,-25.0,0,0
69,10,4,0,1,-35.0,0,0
70,6,1,0,1,-15.0,0,0
71,15,0,1,0,32.0,0,0
72,6,1,0,1,-15.0,0,0
73,18,2,0,1,19.0,0,0
74,11,4,0,1,-25.0,0,0
75,13,6,0,1,-45.0,0,0
76,18,0,0,1,37.0,0,0
77,9,3,0,1,-14.0,0,0
78,9,1,0,1,-7.0,0,0
79,44,10,1,0,45.0,0,0
80,6,0,0,1,-6.0,0,0
81,13,1,1,0,25.0,0,0
82,15,1,1,0,23.0,0,0
83,14,3,0,1,-19.0,0,0
84,20,4,1,0,-9.0,0,0
85,16,7,0,1,-35.0,0,0
86,18,6,0,1,-39.0,0,0
87,16,3,0,1,1.0,0,0
88,25,5,1,0,21.0,0,0
89,6,1,0,1,-15.0,0,0
90,13,3,0,1,-7.0,0,0
91,32,6,1,0,16.0,0,0
92,21,3,0,1,18.0,0,0
93,16,6,0,1,-48.0,0,0
94,22,3,1,0,42.0,0,0
95,14,3,1,0,17.0,0,0
96,25,7,0,1,-22.0,0,0
97,20,3,1,0,11.0,52.6029691696167,0
98,20,5,0,1,23.0,102.50962162017822,0
99,43,7,1,0,117.0,150.47671195864677,0
100,62,0,5,0,520,0,1
100,13,3,1,0,7.0,159.75563538074493,0
101,6,3,0,1,-33.0,165.37200969457626,0
102,12,3,1,0,8.0,178.6655426621437,0
103,20,4,1,0,35.0,199.43031042814255,0
104,55,9,1,0,87.0,254.88596031069756,0
105,22,5,0,1,-1.0,272.582577586174,0
106,38,8,1,0,25.0,304.77672562003136,0
107,13,2,1,0,16.0,315.00701665878296,0
108,6,1,0,1,-15.0,321.162144780159,0
109,45,5,1,0,133.0,358.72824634611607,0
110,20,7,1,0,-36.0,374.54225674271584,0
111,30,4,1,0,36.0,397.47353634238243,0
112,7,1,0,1,-5.0,403.4845633804798,0
